,Bulkmode;whois.cymru.com[2025-10-0623:58:05+0000],,ASBulkmode;whois.cymru.com[2025-10-0623:58:05+0000],
92.118.39.62,47890,92.118.39.0/24,AS47890,RO
91.98.33.7,24940,91.98.0.0/16,AS24940,DE
91.98.114.101,24940,91.98.0.0/16,AS24940,DE
91.92.242.29,209800,91.92.242.0/24,AS209800,TR
91.92.241.59,209800,91.92.241.0/24,AS209800,TR
91.92.241.148,209800,91.92.241.0/24,AS209800,TR
91.65.120.188,3209,91.64.0.0/14,AS3209,DE
91.23.69.183,3320,91.0.0.0/10,AS3320,DE
91.229.245.46,51167,91.229.245.0/24,AS51167,DE
91.218.246.39,50867,91.218.246.0/24,AS50867,RU
91.207.115.249,213890,91.207.115.0/24,AS213890,RU
91.163.173.3,12322,91.160.0.0/12,AS12322,FR
90.153.68.205,9145,90.153.0.0/17,AS9145,DE
90.15.121.102,3215,90.15.0.0/16,AS3215,FR
89.117.75.145,40021,89.117.72.0/21,AS40021,LT
88.208.224.239,8560,88.208.192.0/18,AS8560,GB
88.147.153.205,12389,88.147.128.0/17,AS12389,RU
88.10.4.117,3352,88.10.0.0/16,AS3352,ES
88.10.3.161,3352,88.10.0.0/16,AS3352,ES
88.10.1.162,3352,88.10.0.0/16,AS3352,ES
87.201.127.149,15802,87.201.96.0/19,AS15802,AE
87.13.70.7,3269,87.13.0.0/17,AS3269,IT
87.104.81.224,204274,87.104.64.0/18,AS204274,DK
86.43.118.152,5466,86.40.0.0/13,AS5466,IE
85.95.176.46,12389,85.95.160.0/19,AS12389,RU
85.31.238.217,47583,85.31.236.0/22,AS47583,DE
85.225.133.4,2119,85.224.0.0/13,AS2119,SE
85.190.243.208,51167,85.190.240.0/22,AS51167,DE
84.74.163.210,6730,84.74.128.0/17,AS6730,CH
84.219.146.92,2119,84.216.0.0/14,AS2119,SE
84.16.61.181,31679,84.16.32.0/19,AS31679,SK
84.144.14.73,3320,84.128.0.0/10,AS3320,DE
83.50.50.98,3352,83.50.0.0/16,AS3352,ES
83.25.100.77,5617,83.24.0.0/13,AS5617,PL
83.233.173.11,29518,83.233.0.0/16,AS29518,SE
83.168.110.117,202520,83.168.110.0/24,AS202520,PL
83.168.107.46,202520,83.168.107.0/24,AS202520,PL
83.110.85.228,5384,83.110.64.0/18,AS5384,AE
82.65.6.227,12322,82.64.0.0/14,AS12322,FR
82.65.121.222,12322,82.64.0.0/14,AS12322,FR
82.25.180.17,397373,82.25.180.0/24,AS397373,GB
8.222.241.140,45102,8.222.192.0/18,AS45102,SG
8.219.210.54,45102,8.219.128.0/17,AS45102,SG
8.217.77.179,45102,8.217.0.0/17,AS45102,SG
8.217.232.214,45102,8.217.128.0/17,AS45102,SG
82.157.47.190,45090,82.157.0.0/18,AS45090,CN
8.210.173.50,45102,8.210.128.0/17,AS45102,SG
8.155.51.159,37963,8.155.0.0/17,AS37963,SG
8.155.39.183,37963,8.155.0.0/17,AS37963,SG
8.154.1.148,37963,8.154.0.0/17,AS37963,SG
8.138.110.233,37963,8.138.0.0/17,AS37963,SG
8.137.38.94,37963,8.137.0.0/17,AS37963,SG
8.136.114.241,37963,8.136.0.0/17,AS37963,SG
8.134.95.40,37963,8.134.0.0/17,AS37963,SG
8.134.14.125,37963,8.134.0.0/17,AS37963,SG
8.133.194.64,37963,8.133.0.0/16,AS37963,SG
81.31.208.198,150623,81.31.208.0/24,AS150623,US
8.130.78.218,37963,8.130.0.0/16,AS37963,SG
8.130.19.168,37963,8.130.0.0/16,AS37963,SG
81.224.235.33,3301,81.224.0.0/12,AS3301,SE
80.99.167.22,21334,80.99.0.0/16,AS21334,HU
80.94.95.118,204428,80.94.95.0/24,AS204428,RO
80.179.117.50,12400,80.179.96.0/19,AS12400,IL
80.153.56.254,3320,80.152.0.0/14,AS3320,DE
79.3.96.178,3269,79.2.0.0/15,AS3269,IT
79.247.132.217,3320,79.192.0.0/10,AS3320,DE
79.19.88.246,3269,79.18.0.0/15,AS3269,IT
79.196.228.4,3320,79.192.0.0/10,AS3320,DE
79.116.190.40,57269,79.116.0.0/16,AS57269,ES
78.51.80.206,6805,78.48.0.0/13,AS6805,DE
78.241.109.202,51207,78.240.0.0/13,AS51207,FR
78.1.37.61,5391,78.1.0.0/16,AS5391,HR
78.128.112.74,208637,78.128.112.0/24,AS208637,BG
77.83.207.83,216341,77.83.207.0/24,AS216341,HK
77.83.207.82,216341,77.83.207.0/24,AS216341,HK
77.68.28.192,8560,77.68.0.0/17,AS8560,GB
77.49.221.243,1241,77.49.128.0/17,AS1241,GR
77.237.234.112,51167,77.237.232.0/21,AS51167,DE
77.105.129.179,216300,77.105.129.0/24,AS216300,AM
75.127.89.15,979,75.127.89.0/24,AS979,US
75.119.131.87,51167,75.119.128.0/19,AS51167,DE
75.108.42.241,19108,75.108.32.0/19,AS19108,US
75.102.132.149,63383,75.102.132.0/24,AS63383,US
74.225.2.151,8075,74.224.0.0/14,AS8075,US
74.208.189.184,8560,74.208.188.0/23,AS8560,US
72.60.103.46,47583,72.60.96.0/21,AS47583,LT
72.24.231.207,11492,72.24.231.0/24,AS11492,US
72.178.168.18,11427,72.176.0.0/13,AS11427,US
71.29.23.109,7029,71.29.22.0/23,AS7029,US
69.87.207.135,22552,69.87.192.0/20,AS22552,US
69.62.76.191,47583,69.62.72.0/21,AS47583,LT
69.149.23.135,7018,69.148.0.0/14,AS7018,US
68.183.188.187,14061,68.183.176.0/20,AS14061,US
68.183.167.216,14061,68.183.160.0/20,AS14061,US
68.183.102.75,14061,68.183.96.0/20,AS14061,US
68.168.222.148,19318,68.168.208.0/20,AS19318,US
68.168.218.3,19318,68.168.208.0/20,AS19318,US
67.205.28.221,26347,67.205.0.0/19,AS26347,US
66.29.155.237,22612,66.29.155.0/24,AS22612,US
66.19.240.142,7029,66.19.0.0/16,AS7029,US
65.108.0.87,24940,65.108.0.0/16,AS24940,DE
64.92.14.167,6300,64.92.0.0/19,AS6300,US
64.64.113.50,64286,64.64.113.0/24,AS64286,US
64.52.80.63,399629,64.52.80.0/24,AS399629,US
64.23.151.46,14061,64.23.144.0/20,AS14061,US
64.227.182.212,14061,64.227.176.0/20,AS14061,US
64.227.171.16,14061,64.227.160.0/20,AS14061,US
64.227.136.122,14061,64.227.128.0/19,AS14061,US
62.72.21.30,47583,62.72.20.0/22,AS47583,DE
62.60.131.157,208137,62.60.131.0/24,AS208137,IR
62.56.232.104,12491,62.56.232.0/24,AS12491,IL
62.28.222.221,15525,62.28.0.0/16,AS15525,PT
62.220.163.89,29518,62.220.160.0/19,AS29518,SE
62.209.144.67,34718,62.209.128.0/19,AS34718,UZ
61.240.17.66,4837,61.240.0.0/19,AS4837,CN
61.182.54.190,4837,61.182.0.0/16,AS4837,CN
61.182.241.146,4837,61.182.0.0/16,AS4837,CN
61.182.2.26,4837,61.182.0.0/16,AS4837,CN
61.166.144.39,4134,61.166.0.0/16,AS4134,CN
61.163.139.250,4837,61.163.0.0/16,AS4837,CN
61.155.140.16,140292,61.155.140.0/22,AS140292,CN
60.242.172.202,7545,60.242.172.0/24,AS7545,AU
60.214.128.238,4837,60.208.0.0/13,AS4837,CN
60.205.131.159,37963,60.205.128.0/17,AS37963,CN
60.191.221.91,136190,60.191.221.0/24,AS136190,CN
60.188.59.200,58461,60.188.56.0/22,AS58461,CN
60.173.147.52,4134,60.168.0.0/13,AS4134,CN
60.172.52.101,4134,60.168.0.0/13,AS4134,CN
60.165.127.100,141998,60.165.126.0/23,AS141998,CN
59.68.63.123,4538,59.68.0.0/18,AS4538,CN
59.62.72.186,4134,59.62.0.0/15,AS4134,CN
59.39.64.214,4134,59.32.0.0/13,AS4134,CN
59.36.82.170,4134,59.32.0.0/13,AS4134,CN
59.36.219.242,4134,59.32.0.0/13,AS4134,CN
59.36.138.249,4134,59.32.0.0/13,AS4134,CN
59.24.28.114,4766,59.24.0.0/13,AS4766,KR
59.21.231.72,4766,59.16.0.0/13,AS4766,KR
59.19.182.197,4766,59.16.0.0/13,AS4766,KR
59.185.230.105,17813,59.185.192.0/18,AS17813,IN
59.172.153.82,4134,59.172.0.0/14,AS4134,CN
59.133.191.188,2516,59.133.0.0/16,AS2516,JP
59.129.198.7,2516,59.129.0.0/16,AS2516,JP
59.1.255.55,4766,59.0.0.0/13,AS4766,KR
59.12.160.91,4766,59.8.0.0/13,AS4766,KR
58.57.20.137,4134,58.56.0.0/15,AS4134,CN
58.49.140.148,4134,58.48.0.0/13,AS4134,CN
58.34.168.162,4812,58.34.0.0/16,AS4812,CN
58.34.151.130,4812,58.34.0.0/16,AS4812,CN
58.247.120.254,17621,58.247.0.0/16,AS17621,CN
58.242.127.121,4837,58.242.0.0/15,AS4837,CN
58.241.242.186,4837,58.240.0.0/15,AS4837,CN
58.229.208.228,9318,58.224.0.0/13,AS9318,KR
58.22.30.72,4837,58.22.0.0/15,AS4837,CN
58.216.212.238,4134,58.208.0.0/12,AS4134,CN
58.205.215.90,4538,58.200.0.0/13,AS4538,CN
58.17.153.209,4837,58.17.128.0/17,AS4837,CN
57.152.33.116,8075,57.152.0.0/14,AS8075,GB
57.152.26.96,8075,57.152.0.0/14,AS8075,GB
57.128.191.199,16276,57.128.128.0/18,AS16276,FR
5.38.179.197,5483,5.38.128.0/17,AS5483,HU
5.23.49.34,9123,5.23.49.0/24,AS9123,RU
5.228.34.188,42610,5.228.0.0/16,AS42610,RU
52.232.19.79,8075,52.224.0.0/11,AS8075,US
51.91.100.221,16276,51.91.0.0/16,AS16276,FR
5.181.86.251,211632,5.181.86.0/24,AS211632,UA
5.180.151.7,40021,5.180.151.0/24,AS40021,DE
5.178.101.65,214639,5.178.101.0/24,AS214639,GB
51.77.222.24,16276,51.77.0.0/16,AS16276,FR
51.77.201.230,16276,51.77.0.0/16,AS16276,FR
5.167.79.4,57026,5.167.64.0/20,AS57026,RU
5.157.10.83,57858,5.157.10.0/24,AS57858,SC
51.178.137.243,16276,51.178.0.0/16,AS16276,FR
51.161.123.228,16276,51.161.0.0/17,AS16276,CA
51.159.18.215,12876,51.158.0.0/15,AS12876,FR
50.7.240.50,30058,50.7.240.0/23,AS30058,US
50.6.225.98,31898,50.6.224.0/22,AS31898,US
50.114.48.34,269070,50.114.48.0/24,AS269070,US
49.82.205.173,4134,49.64.0.0/11,AS4134,CN
49.47.217.86,55836,49.46.0.0/15,AS55836,IN
49.247.47.230,38700,49.247.0.0/17,AS38700,KR
49.247.36.95,38700,49.247.0.0/17,AS38700,KR
49.247.24.89,38700,49.247.0.0/17,AS38700,KR
47.98.233.20,37963,47.98.0.0/15,AS37963,CN
47.97.196.73,37963,47.96.0.0/15,AS37963,CN
47.88.28.106,45102,47.88.0.0/18,AS45102,US
47.86.36.165,45102,47.86.0.0/17,AS45102,US
47.86.190.58,45102,47.86.128.0/17,AS45102,US
47.86.176.209,45102,47.86.128.0/17,AS45102,US
47.84.90.123,45102,47.84.0.0/17,AS45102,US
47.83.28.199,45102,47.83.0.0/17,AS45102,US
47.82.96.217,45102,47.82.96.0/19,AS45102,US
47.76.117.138,45102,47.76.0.0/17,AS45102,US
47.243.13.66,45102,47.243.0.0/16,AS45102,US
47.242.198.64,45102,47.242.0.0/16,AS45102,US
47.239.42.214,45102,47.239.0.0/16,AS45102,US
47.239.29.49,45102,47.239.0.0/16,AS45102,US
47.239.236.50,45102,47.239.0.0/16,AS45102,US
47.239.187.201,45102,47.239.0.0/16,AS45102,US
47.239.184.132,45102,47.239.0.0/16,AS45102,US
47.238.62.75,45102,47.238.0.0/16,AS45102,US
47.238.167.194,45102,47.238.0.0/16,AS45102,US
47.238.161.58,45102,47.238.0.0/16,AS45102,US
47.237.96.241,45102,47.237.0.0/16,AS45102,US
47.237.163.130,45102,47.237.0.0/16,AS45102,US
47.237.10.75,45102,47.237.0.0/16,AS45102,US
47.236.83.35,45102,47.236.0.0/16,AS45102,US
47.236.57.0,45102,47.236.0.0/16,AS45102,US
47.236.122.72,45102,47.236.0.0/16,AS45102,US
47.154.60.61,5650,47.152.0.0/14,AS5650,US
47.151.131.235,5650,47.144.0.0/13,AS5650,US
47.111.130.226,37963,47.111.0.0/16,AS37963,CN
47.105.110.107,37963,47.105.0.0/16,AS37963,CN
47.100.25.155,37963,47.100.0.0/15,AS37963,CN
47.100.17.88,37963,47.100.0.0/15,AS37963,CN
47.100.178.11,37963,47.100.0.0/15,AS37963,CN
46.32.178.94,196925,46.32.178.0/24,AS196925,AZ
46.32.178.202,196925,46.32.178.0/24,AS196925,AZ
46.32.178.190,196925,46.32.178.0/24,AS196925,AZ
46.32.178.186,196925,46.32.178.0/24,AS196925,AZ
46.246.8.63,42708,46.246.0.0/17,AS42708,SE
46.209.112.213,42337,46.209.112.0/24,AS42337,AE
46.20.109.15,147293,46.20.109.0/24,AS147293,GR
46.191.141.152,24955,46.191.141.0/24,AS24955,RU
45.8.145.179,44477,45.8.145.0/24,AS44477,RU
45.81.23.49,49870,45.81.22.0/23,AS49870,US
45.78.224.161,150436,45.78.224.0/21,AS150436,SG
45.78.201.161,150436,45.78.200.0/21,AS150436,SG
45.78.196.99,150436,45.78.192.0/21,AS150436,SG
45.78.196.251,150436,45.78.192.0/21,AS150436,SG
45.78.196.183,150436,45.78.192.0/21,AS150436,SG
45.78.193.108,150436,45.78.192.0/21,AS150436,SG
45.78.193.100,150436,45.78.192.0/21,AS150436,SG
45.78.192.86,150436,45.78.192.0/21,AS150436,SG
45.78.192.81,150436,45.78.192.0/21,AS150436,SG
45.78.192.214,150436,45.78.192.0/21,AS150436,SG
45.78.192.211,150436,45.78.192.0/21,AS150436,SG
45.61.184.133,53667,45.61.184.0/22,AS53667,US
45.61.149.165,14956,45.61.148.0/22,AS14956,US
45.55.255.165,14061,45.55.192.0/18,AS14061,US
45.249.208.71,137702,45.249.208.0/24,AS137702,CN
45.197.149.49,134365,45.197.149.0/24,AS134365,MU
45.188.181.56,269529,45.188.181.0/24,AS269529,BR
45.15.227.120,207164,45.15.224.0/22,AS207164,MD
45.15.226.81,207164,45.15.224.0/22,AS207164,MD
45.15.226.44,207164,45.15.224.0/22,AS207164,MD
45.148.10.240,48090,45.148.10.0/24,AS48090,RO
45.147.26.216,6134,45.147.26.0/24,AS6134,HK
45.144.177.18,198610,45.144.177.0/24,AS198610,RU
45.136.118.99,18978,45.136.118.0/23,AS18978,CY
45.135.232.24,198953,45.135.232.0/24,AS198953,AE
45.12.108.130,44477,45.12.108.0/24,AS44477,CY
45.119.86.55,131386,45.119.84.0/22,AS131386,VN
45.119.213.109,131423,45.119.212.0/22,AS131423,VN
45.115.155.157,3786,45.115.155.0/24,AS3786,KR
45.10.175.77,55933,45.10.172.0/22,AS55933,GB
45.10.175.17,55933,45.10.172.0/22,AS55933,GB
43.255.105.237,136907,43.255.104.0/22,AS136907,SG
43.252.230.91,55933,43.252.228.0/22,AS55933,HK
43.229.85.41,38532,43.229.84.0/22,AS38532,SG
43.165.186.119,132203,43.165.128.0/18,AS132203,SG
43.163.220.159,132203,43.163.192.0/19,AS132203,SG
43.158.91.178,132203,43.158.64.0/18,AS132203,SG
43.156.134.227,132203,43.156.128.0/18,AS132203,SG
43.153.9.176,132203,43.153.0.0/18,AS132203,SG
43.153.26.128,132203,43.153.0.0/18,AS132203,SG
43.143.123.128,45090,43.143.64.0/18,AS45090,CN
43.142.67.84,45090,43.142.64.0/18,AS45090,CN
43.134.121.73,132203,43.134.64.0/18,AS132203,SG
43.130.46.179,132203,43.130.0.0/18,AS132203,SG
42.51.41.72,56005,42.51.0.0/18,AS56005,CN
42.51.37.128,56005,42.51.0.0/18,AS56005,CN
42.51.100.11,56005,42.51.64.0/18,AS56005,CN
4.240.94.164,8075,4.240.0.0/12,AS8075,US
4.240.65.162,8075,4.240.0.0/12,AS8075,US
42.248.124.215,4134,42.248.0.0/15,AS4134,CN
42.242.90.81,4134,42.242.0.0/15,AS4134,CN
42.112.26.117,18403,42.112.26.0/24,AS18403,VN
41.59.82.183,33765,41.59.82.0/24,AS33765,TZ
4.144.169.44,8075,4.144.0.0/12,AS8075,US
41.226.27.251,37705,41.226.27.0/24,AS37705,TN
41.111.183.173,36947,41.111.128.0/17,AS36947,DZ
40.82.137.99,8075,40.80.0.0/12,AS8075,US
40.233.27.16,31898,40.233.0.0/19,AS31898,US
39.64.155.165,4837,39.64.0.0/11,AS4837,CN
39.164.232.214,24445,39.164.224.0/20,AS24445,CN
39.109.126.152,142403,39.109.126.0/24,AS142403,HK
38.6.88.202,398823,38.6.64.0/18,AS398823,US
38.63.159.161,54600,38.63.128.0/18,AS54600,US
38.63.132.220,54600,38.63.128.0/18,AS54600,US
38.6.101.123,398823,38.6.64.0/18,AS398823,US
38.60.249.137,138915,38.60.249.0/24,AS138915,US
38.48.205.130,398823,38.48.192.0/18,AS398823,US
38.48.197.1,398823,38.48.192.0/18,AS398823,US
38.47.180.76,140443,38.47.180.0/24,AS140443,US
38.191.250.19,215421,38.191.248.0/22,AS215421,US
38.173.128.47,398823,38.173.128.0/18,AS398823,US
38.173.128.35,398823,38.173.128.0/18,AS398823,US
38.173.119.133,398823,38.173.96.0/19,AS398823,US
38.173.114.114,398823,38.173.96.0/19,AS398823,US
38.146.29.213,46783,38.146.29.0/24,AS46783,US
37.60.250.25,51167,37.60.240.0/20,AS51167,DE
37.229.39.15,15895,37.229.0.0/16,AS15895,UA
37.165.169.47,51207,37.160.0.0/12,AS51207,FR
36.92.84.132,7713,36.92.84.0/24,AS7713,ID
36.67.70.198,7713,36.67.0.0/16,AS7713,ID
36.50.176.13,151858,36.50.176.0/23,AS151858,VN
36.251.194.42,4837,36.248.0.0/14,AS4837,CN
36.224.1.125,3462,36.224.0.0/16,AS3462,TW
36.213.176.230,56046,36.213.128.0/18,AS56046,CN
36.212.18.204,9808,36.212.18.0/24,AS9808,CN
36.189.207.209,9808,36.189.192.0/18,AS9808,CN
36.163.20.6,56046,36.163.20.0/22,AS56046,CN
36.140.33.10,9808,36.140.33.0/24,AS9808,CN
36.139.226.237,9808,36.139.226.0/24,AS9808,CN
36.138.19.180,9808,36.138.19.0/24,AS9808,CN
36.138.134.121,56041,36.138.134.0/24,AS56041,CN
36.137.79.219,9808,36.137.79.0/24,AS9808,CN
36.137.78.104,9808,36.137.78.0/24,AS9808,CN
36.134.96.76,56046,36.134.96.0/24,AS56046,CN
36.134.86.193,9808,36.134.86.0/24,AS9808,CN
36.134.46.220,9808,36.134.46.0/24,AS9808,CN
36.134.147.79,9808,36.134.147.0/24,AS9808,CN
36.134.126.74,9808,36.134.126.0/24,AS9808,CN
36.133.163.5,9808,36.133.163.0/24,AS9808,CN
36.111.81.254,23724,36.111.81.0/24,AS23724,CN
36.111.81.230,23724,36.111.81.0/24,AS23724,CN
36.111.159.87,134768,36.111.159.0/24,AS134768,CN
36.108.175.144,137695,36.108.174.0/23,AS137695,CN
36.103.220.93,134761,36.103.220.0/23,AS134761,CN
35.239.77.168,396982,35.239.64.0/20,AS396982,US
35.221.193.149,396982,35.221.192.0/20,AS396982,US
35.204.172.132,396982,35.204.160.0/20,AS396982,US
34.67.208.20,396982,34.67.208.0/20,AS396982,US
34.47.232.78,396982,34.47.128.0/17,AS396982,US
34.148.212.160,396982,34.148.208.0/20,AS396982,US
31.57.109.92,56971,31.57.109.0/24,AS56971,AE
31.149.194.73,1136,31.149.0.0/16,AS1136,NL
27.79.6.160,7552,27.79.0.0/21,AS7552,VN
27.79.4.80,7552,27.79.0.0/21,AS7552,VN
27.79.47.70,7552,27.79.40.0/21,AS7552,VN
27.79.4.5,7552,27.79.0.0/21,AS7552,VN
27.79.4.191,7552,27.79.0.0/21,AS7552,VN
27.79.4.148,7552,27.79.0.0/21,AS7552,VN
27.79.2.8,7552,27.79.0.0/21,AS7552,VN
27.37.68.185,17816,27.36.0.0/14,AS17816,CN
27.254.235.4,4750,27.254.235.0/24,AS4750,TH
27.254.235.3,4750,27.254.235.0/24,AS4750,TH
27.254.235.1,4750,27.254.235.0/24,AS4750,TH
27.223.28.107,4837,27.192.0.0/11,AS4837,CN
27.221.13.56,4837,27.192.0.0/11,AS4837,CN
27.209.181.122,4837,27.192.0.0/11,AS4837,CN
27.209.180.188,4837,27.192.0.0/11,AS4837,CN
27.185.31.75,4134,27.184.0.0/13,AS4134,CN
27.185.31.205,4134,27.184.0.0/13,AS4134,CN
27.154.86.228,4134,27.152.0.0/13,AS4134,CN
27.150.175.110,133774,27.150.168.0/21,AS133774,CN
27.128.171.39,4134,27.128.0.0/15,AS4134,CN
27.112.79.9,136052,27.112.79.0/24,AS136052,ID
2.57.122.26,47890,2.57.122.0/24,AS47890,RO
2.57.121.25,47890,2.57.121.0/24,AS47890,RO
2.57.121.15,47890,2.57.121.0/24,AS47890,RO
2.57.121.112,47890,2.57.121.0/24,AS47890,RO
24.235.54.241,11260,24.235.32.0/19,AS11260,CA
223.93.8.66,56041,223.93.8.0/21,AS56041,CN
223.93.8.63,56041,223.93.8.0/21,AS56041,CN
223.87.29.190,9808,223.87.29.0/24,AS9808,CN
223.84.46.99,56045,223.84.40.0/21,AS56045,CN
223.76.96.203,9808,223.76.96.0/24,AS9808,CN
223.76.210.31,9808,223.76.0.0/16,AS9808,CN
223.72.5.55,56048,223.72.0.0/17,AS56048,CN
223.220.115.26,140061,223.220.115.0/24,AS140061,CN
223.113.141.60,56046,223.113.140.0/22,AS56046,CN
223.112.23.18,56046,223.112.16.0/21,AS56046,CN
222.95.147.7,4134,222.92.0.0/14,AS4134,CN
222.76.149.131,4134,222.76.0.0/14,AS4134,CN
222.75.99.178,4134,222.75.0.0/16,AS4134,CN
222.73.51.249,4812,222.73.0.0/16,AS4812,CN
222.236.46.74,9318,222.232.0.0/13,AS9318,KR
222.211.217.151,38283,222.211.217.0/24,AS38283,CN
222.187.245.242,4134,222.184.0.0/13,AS4134,CN
222.175.101.227,58540,222.175.101.0/24,AS58540,CN
222.141.31.119,4837,222.136.0.0/13,AS4837,CN
222.122.179.118,4766,222.122.0.0/16,AS4766,KR
222.119.187.99,4766,222.112.0.0/13,AS4766,KR
222.108.39.109,4766,222.104.0.0/13,AS4766,KR
222.104.120.107,4766,222.104.0.0/13,AS4766,KR
222.102.214.75,4766,222.96.0.0/13,AS4766,KR
222.102.21.102,4766,222.96.0.0/13,AS4766,KR
221.8.39.77,4837,221.8.0.0/15,AS4837,CN
221.8.39.76,4837,221.8.0.0/15,AS4837,CN
221.229.220.180,4134,221.224.0.0/13,AS4134,CN
221.229.219.42,4134,221.224.0.0/13,AS4134,CN
221.228.136.192,4134,221.224.0.0/13,AS4134,CN
221.156.137.104,4766,221.152.0.0/13,AS4766,KR
221.156.137.103,4766,221.152.0.0/13,AS4766,KR
221.14.147.153,4837,221.14.0.0/15,AS4837,CN
220.81.148.114,4766,220.80.0.0/13,AS4766,KR
220.76.214.90,4766,220.72.0.0/13,AS4766,KR
220.205.123.186,140726,220.205.122.0/23,AS140726,CN
220.203.28.200,4837,220.203.0.0/19,AS4837,CN
220.197.63.177,4837,220.197.0.0/17,AS4837,CN
220.197.32.180,4837,220.197.0.0/17,AS4837,CN
220.181.172.244,23724,220.181.168.0/21,AS23724,CN
220.179.157.95,4134,220.178.0.0/15,AS4134,CN
220.178.8.154,4134,220.178.0.0/15,AS4134,CN
220.170.52.145,4134,220.170.0.0/16,AS4134,CN
220.164.162.84,4134,220.164.0.0/15,AS4134,CN
220.154.129.88,134756,220.154.129.0/24,AS134756,CN
220.121.255.212,4766,220.120.0.0/13,AS4766,KR
219.152.61.9,134420,219.152.48.0/20,AS134420,CN
219.151.190.109,134420,219.151.176.0/20,AS134420,CN
219.151.177.62,134420,219.151.176.0/20,AS134420,CN
219.145.1.193,4134,219.145.0.0/16,AS4134,CN
219.130.135.190,136199,219.130.128.0/19,AS136199,CN
218.95.39.80,139201,218.95.39.0/24,AS139201,CN
218.95.39.73,139201,218.95.39.0/24,AS139201,CN
218.95.39.70,139201,218.95.39.0/24,AS139201,CN
218.95.39.10,139201,218.95.39.0/24,AS139201,CN
218.75.205.6,4134,218.75.128.0/17,AS4134,CN
218.63.196.74,4134,218.63.0.0/16,AS4134,CN
218.61.251.3,4837,218.61.0.0/16,AS4837,CN
218.4.219.30,4134,218.4.0.0/16,AS4134,CN
218.38.121.43,9318,218.38.0.0/15,AS9318,KR
218.29.54.98,4837,218.28.0.0/15,AS4837,CN
218.23.170.184,4134,218.22.0.0/15,AS4134,CN
218.21.33.132,4134,218.21.32.0/20,AS4134,CN
218.157.163.203,4766,218.152.0.0/13,AS4766,KR
218.156.176.223,4766,218.152.0.0/13,AS4766,KR
218.151.90.156,4766,218.144.0.0/13,AS4766,KR
218.15.121.54,4134,218.14.0.0/15,AS4134,CN
218.15.100.168,4134,218.14.0.0/15,AS4134,CN
218.145.181.48,4766,218.144.0.0/13,AS4766,KR
217.23.72.158,15974,217.23.64.0/19,AS15974,RU
217.154.99.56,8560,217.154.98.0/23,AS8560,DE
217.154.61.178,8560,217.154.56.0/21,AS8560,DE
216.232.226.40,852,216.232.0.0/16,AS852,CA
216.232.226.217,852,216.232.0.0/16,AS852,CA
216.10.250.218,394695,216.10.240.0/20,AS394695,IN
213.250.149.11,136907,213.250.144.0/20,AS136907,SG
213.212.36.174,12552,213.212.0.0/18,AS12552,SE
213.209.157.59,214940,213.209.157.0/24,AS214940,DE
213.209.143.51,214943,213.209.143.0/24,AS214943,DE
213.209.143.48,214943,213.209.143.0/24,AS214943,DE
213.199.63.152,51167,213.199.48.0/20,AS51167,DE
213.199.58.144,51167,213.199.48.0/20,AS51167,DE
