# Dataplane.org - for operators, by operators
# dnsversion
# 2025-09-30 12:00 - 2025-10-07 12:00
#
# The dnsversion report is free for non-commercial use ONLY.  If you wish
# to discuss commercial use of this service, please contact us at
# info@dataplane.org.  Redistribution of the dnsversion report in whole or
# in part without the express permission of Dataplane.org is expressly
# prohibited.
#
# This report is made possible through the generous support of people
# like you.  Sensor, processing, and distribution systems require
# non-free resources to setup and maintain.  We are always looking for
# financial contributions to help pay the bills and hosting to increase
# visibility.  If you find what we do useful, please consider supporting
# us.
#
# This report is informational.  This is not a block list.  Deriving
# malicious or benign intent for an individual entry in the face of
# NATs, address spoofing, and certain types of Internet activity
# (e.g., surveying research) can be difficult.  The report is provided
# on an as-is basis with no expressed warranty or guarantee of accuracy.
# Use of this data is at your own risk.  If you have questions about
# this report do not hesitate to contact us.
#
# Entries below are records of source IP addresses that have been
# identified as sending DNS CH TXT VERSION.BIND queries.
# Each entry is sorted according to a route originating ASN.  An entry
# for the IP address is listed only once even if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use the
# PyASN IP address to ASN mapping service to construct an origin AS
# number and name.  For details about PyASN, see:
#
#   <https://pypi.org/project/pyasn/>.
#
# The report format is as follows:
#
# ASN  |  ASname  |  ipaddr  |  lastseen  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
#   ASN        Autonomous system number originating a route for the
#              entry IP address. Note, 4-byte ASNs are supported and
#              will be displayed as a 32-bit integer.  NA is shown if
#              an origin ASN cannot be found.
#
#   ASname     A descriptive network name for the associated ASN.  The
#              name is truncated to 30 characters.  NA is shown if an
#              AS name cannot be found.
#
#   ipaddr     The IPv4 address that is being reported.
#
#   lastseen   A last seen timestamp formatted as YYYY-mm-dd HH:MM:SS
#              in UTC time.
#
#   category   Descriptive tag name for this entry.  For this report,
#              the text dnsversion will appear.
#
# A commented footer section shows an aggregate count of ASNs and
# addresses seen in the current report.
#
174          |  COGENT-174                      |  2.59.22.234      |  2025-10-07 11:31:43  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.83.125.99      |  2025-10-05 00:41:44  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.217.244     |  2025-10-02 04:30:48  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.217.27      |  2025-10-04 14:10:16  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.217.4       |  2025-10-01 18:48:00  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.218.1       |  2025-10-07 02:12:08  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.218.190     |  2025-10-04 04:32:46  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.218.27      |  2025-10-05 08:20:35  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.219.199     |  2025-10-03 01:16:21  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.219.23      |  2025-10-02 00:05:55  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  1.85.219.4       |  2025-10-06 00:49:21  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  106.4.161.111    |  2025-10-03 18:38:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  106.4.161.209    |  2025-10-07 10:07:01  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  106.57.254.2     |  2025-10-02 03:49:10  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.176.110  |  2025-10-04 07:06:50  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.176.150  |  2025-10-02 04:36:58  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.176.251  |  2025-10-06 05:09:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.177.168  |  2025-10-03 03:25:42  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.177.54   |  2025-10-03 20:37:52  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.178.162  |  2025-10-04 14:45:05  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.178.209  |  2025-09-30 15:06:52  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.178.73   |  2025-10-06 01:03:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.179.216  |  2025-10-07 07:41:44  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.179.65   |  2025-10-05 21:37:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.179.68   |  2025-10-06 23:26:16  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.180.232  |  2025-10-07 08:45:02  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.181.11   |  2025-10-06 14:25:31  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.182.185  |  2025-10-03 07:20:27  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.182.94   |  2025-09-30 16:16:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.183.170  |  2025-09-30 12:01:40  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  110.177.183.35   |  2025-10-04 21:37:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.88.117   |  2025-10-05 00:11:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.88.205   |  2025-10-01 11:17:43  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.88.87    |  2025-10-01 09:49:49  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.88.95    |  2025-10-06 18:41:42  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.89.162   |  2025-10-05 10:17:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.89.170   |  2025-10-05 16:52:51  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.89.251   |  2025-10-07 10:07:00  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.89.29    |  2025-10-04 22:02:00  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.113.89.47    |  2025-10-03 10:07:05  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.102  |  2025-10-06 01:46:35  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.117  |  2025-10-03 21:45:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.138  |  2025-10-02 12:52:34  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.208  |  2025-10-06 03:17:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.254  |  2025-10-06 09:17:06  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.218.70   |  2025-10-04 17:52:43  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.219.105  |  2025-10-06 02:16:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.219.108  |  2025-10-04 07:34:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.219.2    |  2025-10-06 18:36:39  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.219.202  |  2025-09-30 16:36:08  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.219.60   |  2025-10-04 20:05:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.221  |  2025-10-05 07:31:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.249  |  2025-10-04 11:41:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.63   |  2025-09-30 16:17:09  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.7    |  2025-10-01 15:07:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.75   |  2025-10-05 14:46:34  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.220.9    |  2025-10-06 09:50:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.114  |  2025-09-30 12:35:30  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.168  |  2025-10-01 06:50:46  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.201  |  2025-10-03 20:20:44  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.203  |  2025-10-05 10:20:57  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.24   |  2025-10-01 15:45:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.31   |  2025-10-03 08:08:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  111.224.221.4    |  2025-10-03 20:26:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.102.227.101  |  2025-10-06 12:20:11  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.102.227.102  |  2025-10-05 08:27:12  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.100  |  2025-10-01 06:52:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.109  |  2025-09-30 23:31:06  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.123  |  2025-10-05 02:29:24  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.125  |  2025-10-05 11:34:51  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.136  |  2025-10-05 01:40:22  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.17   |  2025-10-04 21:43:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.176  |  2025-10-01 12:05:41  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.224  |  2025-10-06 04:07:19  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.57   |  2025-10-05 12:21:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.78   |  2025-10-01 04:40:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.182.91   |  2025-10-01 02:31:58  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.212.107  |  2025-10-03 14:09:22  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.112.212.28   |  2025-10-03 11:04:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.115.155.117  |  2025-10-06 18:26:44  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.115.155.223  |  2025-10-06 12:29:37  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.115.155.43   |  2025-10-06 01:52:47  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  112.115.155.56   |  2025-10-01 19:39:28  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.120.56.61    |  2025-10-05 13:50:49  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.120.58.138   |  2025-10-02 17:10:51  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.120.59.219   |  2025-10-01 07:37:18  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.236.144  |  2025-10-02 05:31:17  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.236.226  |  2025-10-02 15:29:46  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.237.101  |  2025-10-04 00:49:54  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.237.47   |  2025-10-07 11:03:05  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.64.7     |  2025-10-05 19:45:40  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.64.76    |  2025-10-04 09:51:41  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.65.166   |  2025-10-06 17:38:05  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.65.193   |  2025-10-06 14:35:55  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.66.21    |  2025-10-07 03:58:05  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.67.108   |  2025-10-03 14:42:07  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.67.24    |  2025-10-05 20:20:02  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  113.128.67.3     |  2025-10-06 14:23:17  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  115.195.216.72   |  2025-10-06 23:20:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  115.198.201.19   |  2025-10-05 16:53:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  115.204.194.126  |  2025-10-03 15:26:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  115.233.218.204  |  2025-10-02 04:19:47  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  116.52.141.109   |  2025-10-04 17:19:24  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  116.52.141.149   |  2025-10-04 20:47:17  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  116.52.141.153   |  2025-10-04 21:30:09  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  116.52.141.163   |  2025-10-05 06:11:33  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  116.52.141.67    |  2025-10-04 12:08:34  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.29.44.45     |  2025-10-07 11:30:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.29.44.65     |  2025-10-04 21:55:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.29.44.66     |  2025-10-03 02:23:28  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.29.44.91     |  2025-09-30 20:45:16  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.40.113.146   |  2025-10-06 00:59:15  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.40.113.94    |  2025-10-06 10:05:30  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.40.114.156   |  2025-10-03 13:02:01  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.40.114.64    |  2025-10-04 15:10:40  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  117.40.114.83    |  2025-10-05 12:01:35  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.36.16.114    |  2025-10-04 21:53:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.36.16.173    |  2025-10-05 00:11:21  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.36.16.218    |  2025-09-30 20:34:32  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.36.16.231    |  2025-09-30 22:55:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.39.36.105    |  2025-10-06 18:55:34  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.39.36.115    |  2025-10-05 02:59:12  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.39.36.178    |  2025-10-01 19:31:37  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  120.39.37.106    |  2025-10-04 21:49:01  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  122.235.79.131   |  2025-10-06 18:16:27  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.173.183  |  2025-10-02 18:30:37  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.173.217  |  2025-10-01 12:40:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.173.89   |  2025-10-04 11:09:03  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.174.226  |  2025-09-30 15:25:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.174.55   |  2025-10-02 13:49:07  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.232.149  |  2025-10-07 10:15:04  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.160.235.104  |  2025-09-30 16:38:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.163.114.112  |  2025-10-03 06:53:50  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.101  |  2025-09-30 22:45:13  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.105  |  2025-10-04 09:52:34  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.113  |  2025-10-03 05:33:00  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.126  |  2025-09-30 18:59:00  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.133  |  2025-10-05 12:22:46  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.135  |  2025-10-04 03:17:26  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.187  |  2025-10-07 09:48:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.19   |  2025-10-05 21:23:36  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.218  |  2025-10-06 18:27:18  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.227  |  2025-10-04 17:09:01  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.248  |  2025-10-05 14:35:20  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.56   |  2025-10-01 02:54:36  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.57   |  2025-10-06 10:40:35  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.76   |  2025-10-06 07:32:42  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.178.210.92   |  2025-10-04 21:51:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.187.170  |  2025-10-05 03:51:15  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.115   |  2025-10-03 14:37:53  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.116   |  2025-10-07 06:47:44  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.148   |  2025-10-05 20:30:29  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.155   |  2025-10-02 13:20:21  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.179   |  2025-10-01 06:12:38  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.183   |  2025-10-05 06:50:12  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.191   |  2025-10-07 11:32:23  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.20    |  2025-10-01 09:40:48  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.237   |  2025-10-01 12:05:39  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.251   |  2025-10-04 14:10:14  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.84.76    |  2025-10-07 07:27:17  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.85.0     |  2025-10-04 10:56:25  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.85.12    |  2025-10-01 14:47:11  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.85.164   |  2025-10-01 23:38:37  |  dnsversion
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  123.245.85.18    |  2025-10-01 18:57:37  |  dnsversion
